hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"Listening",870447.2227342549,70969.23430017168,355666.70624378783,35928.567543146295,12275.817836812143,39506.83836467137,25467.88425047438,45679.24202173537,967008.6035962772,306253.1214421252,506122.6832926719,22115.703171591216,388894.7348875035,149101.37887413029,38126.74347158218,25659.144108263656,18793.104725761274,199037.76638099406,67951.57960066498,93181.72226445281,27930.216344692628,23363.994564575216,173814.2629786406,631360.0961416825
"Gaming",34506.42857142857,35178.3538961039,34506.42857142857,42117.28571428572,37365.75,51856.54953917051,234623.49675324676,740613.392857143,38433.82142857143,22420.43087557604,20463.58294930876,28097.178571428572,25763.353896103898,24752.0,41535.07044042914,80803.603477168,304723.70810640976,81635.60714285714,93684.03571428572,129151.14285714286,100142.71198156683,59174.218238283465,71733.44836614997,60330.16841223293
"Shopping",171087.07596909732,35032.10436432637,69023.85829493088,303579.8386419084,276172.76280834916,481522.1802656547,248853.91081593928,145039.66982922202,206479.35605855245,78011.12903225806,704121.5654648956,363209.82542694506,179939.18595825424,670939.20113852,916261.210626186,57663.02880184332,249037.65464895638,88999.59203036054,556322.8715776632,582801.5104364327,511509.9316888046,1287176.4182027653,761630.2506099213,325427.29791271343
"Watching",84295548.7316774,28728.250410089597,466650.02324999485,3108.055914673562,3089.134286965407,235902.38906586773,6005.463244535351,2662420.1350992457,17399.131974129603,9670.563172231887,22837.26997796637,724973.5515726951,5429830.171030781,15347967.137730187,2884876.260265537,12999340.201420022,5419514.926270227,159752.03309735804,192856.69181453806,9264568.706299871,4891730.51846588,2124667.638902211,6951211.800812716,84589677.98253801
"News, Weather and Magazines",382204.15165375976,186036.21689992215,149645.91386728385,128448.49213418926,103194.20055466356,272605.7373132876,1122700.1024090038,2303096.5607901984,1107141.175697099,393551.9287071178,70969.41210559098,543598.8567422114,1328056.3206021218,724155.9190349017,319761.8121471796,281293.8622024923,655074.8850376379,377600.03185173875,254123.84333639304,880838.2104800708,8257336.467092501,26430351.438368153,666790.9750330247,2780861.728230724
"Background Processes and Services",1146585.88196869,286133.81947879144,501394.39828798646,224017.4100051765,1043170.673055707,1176149.8253651448,7199161.997544062,22486748.350529935,2755079.204160929,838033.0396599249,15819401.690801943,1771513.704531883,3036017.369951413,2712078.4862425206,8618789.921046201,4200483.4708796,1484599.3065624456,2888929.0903630666,3842296.984606839,5868466.543136071,504918.3120435172,2621720.8039571126,14375725.593704686,2742945.296074617
"Health and Fitness",31154.944971537003,5099.588235294118,2539.518026565465,2941.235294117647,4088.1176470588234,5303.774193548387,17772.14800759013,39003.705882352944,42295.26755218216,41207.88045540797,12613.70588235294,35634.032258064515,42859.37381404174,15883.527514231499,35110.00379506642,10149.470588235294,26294.011385199246,35187.08159392789,25138.235294117643,36491.29222011386,31533.35863377609,16957.745730550283,26661.764705882353,17015.823529411766
"Photography",8898.417050691245,4903.635944700461,4785.1612903225805,5506.870967741935,4273.870967741936,886535.4193548389,8318.645161290322,6728.677419354839,13396.497695852535,9008.516129032258,7344.291858678955,5305.92549923195,7583.870967741936,8305.193548387097,5613.178187403993,4261.464285714286,4131.967741935484,6826.434331797234,5165.885944700461,7131.307219662059,6912.2104454685095,13449.7311827957,284703.0814132104,120044.46697388633
"Social Media",19795504.560366146,13471573.057759494,9695465.15573951,8401967.336780714,10550232.556658758,22346244.21416375,27708102.28763271,40414436.487629786,56598663.01999178,36906372.431223266,25557035.564536758,12465101.267170032,38208991.174907885,47198174.080989905,25453430.59140231,33296810.150049314,49125976.5908499,24472417.74514768,25523802.740144294,25265442.471182972,16236954.144248776,15512534.743724262,22719507.777978793,25323818.600844085
"Communication",709591.4146180731,216205.1833402964,172737.69882981878,108271.30587366324,228569.63439060736,289947.5075754279,395618.27176453616,661536.9042021765,601565.3670261758,1743473.781923828,625471.4001684797,797700.5978858063,1158621.9463615888,1536520.252925855,1348495.4007188256,2649391.8548479057,749204.5400692656,1252908.4078554204,1349384.616376693,4574962.734701615,2572155.131210593,975724.0534753451,2038263.5799420518,2589822.5242306367
"Storage, Backups and Transfers",573789.9947670925,73943.68433179724,48858.25392618134,162995.6309013567,1751508.4929103155,215094.6215719764,1877490.653703981,1079258.9597985821,2373418.795344915,116516.06125143592,116774.18780833474,654764.2761701972,3437735.2964545763,400114.0088759452,288961.13843172893,1511340.423067445,1185661.3771574933,222264.7789947588,257310.64921268678,748979.6751185522,357509.4169253114,2384349.7719832,8603838.17406471,3673243.6068477286
"Tools",73196.35269393999,3776422.148409211,31486.664129465673,23317.2219918931,18153.531089294065,14116.60860446239,7536.881344111709,42381012.45634777,99042.18428427582,32886.953923472516,216327.57914630955,197307.10724568175,47631.01946078699,252646.2124402012,29123693.24145677,1177556.9126791859,257402.27524625915,45847.06182854079,95225.35133895064,4539235.985447931,13092867.605913486,14103277.306553194,175399.8006040243,355678.45842259657
"Speciality",63191.77045348294,23408.69187871502,1948.4565217391305,2962.9102384291728,10674.571528751754,1136.913043478261,26712.04067321178,107820.62201963534,332079.78003740066,187338.84131436585,160834.65324250318,261985.17728578107,219195.79883790825,164953.01743137647,318130.2767648433,222481.72722567286,356594.88198757765,325530.36926467647,366063.2189941895,417677.909169839,383523.64950243774,512832.72824417293,381541.2025980097,416392.46333400125
